,Name,City,INN,reliable,dobro_mail,need_help,https
0,"Благотворительный фонд социальной поддержки населения ""Вместе""",Благовещенск РБ,1,1,1,1,0
1,Благотворительный фонд помощи тяжело больным детям «Особенные дети»,Уфа,1,1,1,1,0
2,"Автономная некоммерческая медицинская организация ""Уфимский хоспис""",Уфа,1,1,1,1,0
3,"Детский Благотворительный Фонд ""С Любовью""",Уфа,1,1,1,1,1
4,"Благотворительный фонд помощи тяжелобольным детям ""Потерь нет""",Уфа,1,1,1,1,0
5,"Благотворительный Фонд экологического просвещения, социальной поддержки населения, развития народных ремесел и декоративно-прикладного творчества ""Твердая почва""","г. Уфа , Республика Башкортостан",1,1,1,1,0
6,"Благотворительный фонд ""Благо Дари""",Гатчина,1,1,1,1,1
7,"Благотворительный фонд ""Надежда""","Москва, Махачкала, Лондон",1,1,1,1,0
8,"Благотворительный фонд содействия образовательным, культурным и социальным проектам ""Село""",Москва,1,1,1,1,0
9,"Некоммерческая организация благотворительный фонд ""Мял""",Магас,1,1,1,1,0
10,"Карельская региональная общественная организация защиты животных ""Первый приют""",Петрозаводск,1,1,1,1,0
11,"Карельская региональная общественная организация помощи лицам, страдающим психическими расстройствами, их родственников и специалистов, работающих в сфере психического здоровья ""Преодоление""",Кондопога,1,1,1,1,0
12,Фонд «Друзья»,Москва,1,1,1,1,0
13,Добрая Марий Эл,Йошкар-Ола,1,1,1,1,0
14,"Автономная некоммерческая организация гражданско-патриотического развития молодежи ""Подвиги""",Саранск,1,1,1,1,0
15,"РОД ""Ресурсный центр социальных технологий Республики Саха (Якутия)""",Якутск,1,1,1,1,0
16,"Автономная некоммерческая организация ""Центр содействия реализации социально-культурных и благотворительных проектов ""Филантроп""",Казань,1,1,1,1,0
17,"АНО ""Центр организации спортивно-массовых мероприятий ""СПОРТ БУДУЩЕГО""",Казань,1,1,1,1,0
18,Фонд Светланы Изамбаевой,Казань,1,1,1,1,0
19,"Благотворительный фонд ""Подари ЗАВТРА!""",Ижевск,1,1,1,1,0
20,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""СИЛЬНЫЕ ДЕТИ""",Чебоксары,1,0,1,1,0
21,"Чувашская региональная общественная организация содействия в решении социальных проблем семьи и человека ""МИР ДОБРА""",Чебоксары,1,1,1,1,0
22,"ФОНД ПОМОЩИ МНОГОДЕТНЫМ И МАЛОИМУЩИМ СЕМЬЯМ, ДЕТЯМ-СИРОТАМ, ДЕТЯМ, ОСТАВШИМСЯ БЕЗ ПОПЕЧЕНИЯ РОДИТЕЛЕЙ И ЛЮДЯМ, ПОПАВШИМ В СЛОЖНУЮ ЖИЗНЕННУЮ СИТУАЦИЮ ""ОБЛАКА""",Барнаул,1,1,1,1,0
23,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""АУРЕЯ""",УЯР,1,0,1,1,0
24,Красноярский Региональный Фонд «Красноярье без сирот»,Красноярск,1,1,1,1,0
25,"Автономная некоммерческая организация ""Центр социально-психологической реабилитации онкологических больных и лиц групп риска ""ВМЕСТЕ ПРОТИВ РАКА""",Красноярск,1,1,1,1,0
26,"Детский благотворительный фонд ""Счастливые дети""",Красноярск,1,1,1,1,1
27,"Благотворительный фонд помощи детям ""Ренессанс""",Владивосток,1,1,1,1,0
28,"Хабаровская краевая общественная организация замещающих семей ""Чужих детей не бывает""",Хабаровск,1,1,1,1,0
29,"Некоммерческий благотворительный фонд помощи нуждающимся ""Взамен""",Архангельск,1,1,1,1,0
30,"Автономная некоммерческая организация Центр социальной помощи ""Смысл есть""","Мирный, Архангельская область",1,1,1,1,0
31,"Благотворительный фонд ""Стрелиция""",Юрьев-Польский,1,1,1,1,0
32,"Автономная некоммерческая организация популяризации благотворительных проектов ""ЗаСпасибо""",Владимир,1,1,1,1,0
33,"БФ ""Близкие люди""",Владимир,1,1,1,1,0
34,Благотворительный фонд Елены Исинбаевой,Волгоград,1,1,1,1,0
35,"Благотворительный фонд развития социально значимых инициатив ""Доброта на Волге""",Волгоград,1,1,1,1,0
36,Благотворительный Фонд «Хорошие люди»,Вологда,1,1,1,1,0
37,"Благотворительный фонд помощи детям ""Благо""",Воронеж,1,1,1,1,0
38,"Иркутский областной общественный благотворительный фонд ""Семья Прибайкалья""",Иркутск,1,1,1,1,0
39,"Ассоциация ""Защитим Байкал вместе""",Иркутск,1,1,1,1,0
40,"Иркутская Региональная Экологическая Общественная Организация ""Мой Байкал""",Иркутск,1,1,1,1,0
41,"Фонд поддержки людей с ограниченными возможностями ""Лабиринт 42""",Кемерово,1,1,1,1,0
42,"Благотворительный фонд социальной поддержки и защиты детей, граждан и организаций в области медицины, образования, здорового образа жизни, а также попавших в трудную жизненную ситуацию «Счастье детям»",Кемерово,1,1,1,1,0
43,"Костромской областной благотворительный фонд помощи детям и взрослым с особенностями развития (преимущественно с аутизмом) ""Открыть Мир""",Кострома,1,1,1,1,0
44,"Благотворительный Фонд ""География Добра""",Кострома,1,1,1,1,1
45,Автономная некоммерческая организация ««Центр систематизации материальных и духовных знаний «Наше Поветлужье»,Шарья Костромская область,1,1,1,1,0
46,"Благотворительный Фонд ""Искорка надежды""",Курск,1,1,1,1,1
47,"ФОНД ПОМОЩИ ДЕТЯМ И ЛЮДЯМ, ПОПАВШИМ В ТЯЖЕЛУЮ ЖИЗНЕННУЮ СИТУАЦИЮ ""ДОБРЫЙ ВЕТЕРОК""",Дмитров,1,0,1,1,0
48,Благотворительный фонд «Гольфстрим»,Москва,1,1,1,1,0
49,"Межрегиональная благотворительная общественная организация ""Кожные и аллергические болезни""",Москва,1,1,1,1,0
50,Межрегиональная общественная организация содействия помощи пациентам с нейрофиброматозом «22/17»,Москва,1,1,1,1,0
51,"Благотворительный Фонд помощи животным ""Сень Сотен Крыльев""",Павловский Посад,1,1,1,1,0
52,"Благотворительный фонд помощи животным ""Хвостатый рай""",Протвино,1,1,1,1,0
53,"Детский реабилитационный центр ""Вдохновение""",Руза,1,1,1,1,0
54,"Автономная некоммерческая организация ""Центр Проектного Развития""",Городец,1,1,1,1,0
55,"Нижегородская региональная общественная организация содействия социальному развитию ""Служение-НЭКСТ""",Нижний Новгород,1,1,1,1,0
56,"Автономная некоммерческая организация центр социальной помощи престарелым и инвалидам ""Дом Милосердия""",Новосибирск,1,1,1,1,0
57,"Благотворительный фонд ""Сохраняя жизнь""",Оренбург,1,1,1,1,0
58,"Автономная некоммерческая организация ""Диаконический Центр ""Прикосновение""",Оренбург,1,1,1,1,1
59,"АНО ""Платформа образовательных проектов""",Пермь,1,1,1,1,0
60,"Межрегиональная общественная организация ""Общество развития продуктивных инициатив"", тематическое отделение ""Территория передышки""",Пермь,1,1,1,1,0
61,"Пермская региональная общественная организация ""Солнечный круг""",Пермь,1,1,1,1,0
62,"Псковская региональная общественная благотворительная организация ""Росток""",Порхов Псковской области,1,1,1,1,0
63,"Автономная некоммерческая зоозащитная организация ""Шанс""",Псков,1,1,1,1,0
64,"Благотворительный фонд помощи детям ""Доброе дело""",Ростов-на-Дону,1,1,1,1,0
65,"Благотворительный фонд ""Я без мамы""",Ростов-на-Дону,1,1,1,1,0
66,"Ростовская региональная общественная организация инвалидов ""Центр лечебной педагогики и социальной терапии ""СВеЧа""",Ростов-на-Дону,1,1,1,1,0
67,"Региональная общественная организация волонтёров Самарской области ""Домик детства""",Самара,1,1,1,1,0
68,"Благотворительный фонд ""Радость жизни""",Южно-Сахалинск,1,1,1,1,0
69,Свердловская региональная общественная организация «Уральская палата защиты потребителей»,Екатеринбург,1,1,1,1,0
70,"Благотворительный детский фонд ""Мы вместе""",Екатеринбург,1,1,1,1,0
71,"Благотворительный детский фонд ""Мы вместе""",Екатеринбург,1,1,1,1,0
72,"Благотворительный фонд ""Надежная смена""",Москва,1,1,1,1,0
73,"Ассоциация лидеров бизнеса и образования ""Клуб ""Корифей""",Екатеринбург,1,1,1,1,0
74,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ЭКОЛОГИЧЕСКИХ ПРОЕКТОВ И ПОМОЩИ НАСЕЛЕНИЮ ""СБЕРЕГИ ЖИЗНЬ""",ЕКАТЕРИНБУРГ,1,0,1,1,0
75,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ СОДЕЙСТВИЯ РАЗВИТИЮ ГРАЖДАНСКИХ ИНИЦИАТИВ И КРЕАТИВНЫХ ИНДУСТРИЙ ""ГОРОДСКИЕ ИНИЦИАТИВЫ""",Екатеринбург,1,1,1,1,0
76,"Благотворительный Фонд ""ПРЕОДОЛЕНИЕ""",Тамбов,1,1,1,1,0
77,"Благотворительный фонд ""ДОБРЫЙ МИР""",Тверь,1,1,1,1,0
78,"Благотворительный фонд ""Семь профессий""",Москва,1,1,1,1,0
79,"Автономная некоммерческая организация социальной помощи нуждающимся ""Другая медицина""",Челябинск,1,1,1,1,0
80,"Благотворительный фонд ""Поможем Таланту"" имени Ильи Севостьянова",Челябинск,1,1,1,1,0
81,"Челябинское региональное благотворительное общественное движение помощи онкобольным детям ""Искорка Фонд""",Челябинск,1,1,1,1,1
82,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""ДОБРОЕ СЕРДЦЕ. ПРОЯВИ ДОБРОТУ СВОЕГО СЕРДЦА""",Магнитогорск,1,0,1,1,0
83,Частное учреждение Благотворительного фонда Металлург Центр социального обслуживания населения,Магнитогорск,1,1,1,1,0
84,"Автономная Некоммерческая Организация помощи животным ""Маленькая жизнь""",Магнитогорск,1,1,1,1,0
85,"Благотворительный фонд помощи семье и детям, находящихся в трудной жизненной ситуации ""Семья плюс""",Челябинск,1,1,1,1,0
86,"Благотворительный фонд ""Мы Рядом!""",Челябинск,1,1,1,1,0
87,Фонд развития Политехнического музея,Москва,1,1,1,1,1
88,"Благотворительный фонд Оксаны Федоровой ""Спешите делать добро!""",Москва,1,1,1,1,0
89,"ФОНД СОДЕЙСТВИЯ ПОВЫШЕНИЮ ОБРАЗОВАТЕЛЬНОГО И КУЛЬТУРНОГО УРОВНЯ ЖЕНЩИН, МОЛОДЕЖИ И ДЕТЕЙ ""ВОЛГА""",Москва,1,1,1,1,0
90,"Благотворительный фонд ""Арифметика добра""",Москва,1,1,1,1,1
91,"Благотворительный фонд ""Тепло сердец""",Москва,1,1,1,1,0
92,"Благотворительный фонд ""АиФ. Доброе сердце""",Москва,1,1,1,1,0
93,"Фонд поддержки социальных программ и инициатив ""Лавка радостей""",Москва,1,1,1,1,0
94,"Благотворительный фонд ""Национальный Фонд Поддержки Здоровья Женщин""",Москва,1,1,1,1,0
95,"Благотворительный фонд защиты животных ""Вирта""",Москва,1,1,1,1,0
96,Общественная организация защиты животных РусДог,Москва,1,1,1,1,0
97,"Фонд поддержки лиц с нарушением развития и интеллекта ""Лучшие друзья""",Москва,1,1,1,1,0
98,Благотворительный фонд помощи воспитанникам и выпускникам детских домов «Константа»,Тверь,1,1,1,1,0
99,Московская Школа Профессиональной Филантропии,Москва,1,1,1,1,0
100,"Некоммерческая организация ""Благотворительный фонд ""Даунсайд Ап""",Москва,1,1,1,1,1
101,"Благотворительный фонд ""Созидание""",Москва,1,1,1,1,0
102,"Благотворительный фонд ""Волонтеры в помощь детям-сиротам""",Москва,1,1,1,1,0
103,БФ Предание,Москва,1,1,1,1,0
104,Старшие Братья Старшие Сестры,Москва,1,1,1,1,0
105,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ПОДДЕРЖКИ НУЖДАЮЩИХСЯ ""7 ЖИЗНЕЙ""",Москва,1,0,1,1,0
106,"Благотворительный фонд ""Семейная в помощь""",Москва,1,1,1,1,0
107,"Благотворительный фонд ""Дети Марии""",Москва,1,1,1,1,0
108,"Благотворительный фонд ""Фонд продовольствия ""Русь""",Москва,1,1,1,1,0
109,"Благотворительный фонд в поддержку материнства ""Быть мамой""",Москва,1,1,1,1,0
110,"Благотворительный фонд ""Центр содействия еврейской жизни молодежи ""ГИЛЕЛЬ""",Москва,1,1,1,1,0
111,"Региональная общественная организация инвалидов ""Перспектива""",,1,1,1,1,0
112,"Региональный общественный благотворительный фонд содействия культурному и спортивному развитию детей и молодежи ""Дети Мира""",Москва,1,1,1,1,0
113,"Благотворительный фонд ""Иллюстрированные книжки для маленьких слепых детей""",Москва,1,1,1,1,0
114,"Благотворительный фонд ""Дети Наши""",Москва,1,1,1,1,0
115,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""ФОНД ПОДДЕРЖКИ СЛЕПОГЛУХИХ ""СО-ЕДИНЕНИЕ""",Москва,1,1,1,1,0
116,"Благотворительный фонд ""Адели""",Москва,1,1,1,1,0
117,"Благотворительный фонд развития паллиативной помощи ""Детский паллиатив""",Москва,1,1,1,1,0
118,"Благотворительный фонд социальной помощи детям ""Расправь крылья!""",Москва,1,1,1,1,0
119,"Благотворительный фонд поддержки семьи, материнства и детства ""Женщины за жизнь""",Москва,1,1,1,1,0
120,"Благотворительный фонд ""Творческое объединение ""Круг""",Москва,1,1,1,1,0
121,"Благотворительный фонд помощи тяжелобольным детям ""Живи""",Москва,1,1,1,1,1
122,"ФОНД ПОМОЩИ ДЕТЯМ, СТРАДАЮЩИМ ТЯЖЕЛЫМИ ЗАБОЛЕВАНИЯМИ И ИХ СЕМЬЯМ, ДЕТЯМ СИРОТАМ, ДЕТЯМ, ОСТАВШИМСЯ БЕЗ ПОПЕЧЕНИЯ РОДИТЕЛЕЙ, А ТАКЖЕ ГРАЖДАНАМ, НАХОДЯЩИМСЯ В ТРУДНОЙ ЖИЗНЕННОЙ СИТУАЦИИ ""ВРЕМЯ""",Москва,1,0,1,1,0
123,"Благотворительный фонд помощи недоношенным детям ""Право на чудо""",Москва,1,1,1,1,1
124,"Межрегиональная общественная организация инвалидов ""Пилигрим""",Москва,1,1,1,1,0
125,"Благотворительный фонд помощи детям-сиротам ""Здесь и сейчас""",Москва,1,1,1,1,0
126,"Благотворительный фонд ""В твоих руках""",Москва,1,1,1,1,0
127,"Негосударственное образовательное частное учреждение ""Учебно-методический центр Всероссийского общества глухих""",Москва,1,1,1,1,0
128,Благотворительный фонд помощи людям с Боковым Амиотрофическим Склерозом и другими нейромышечными заболеваниями «Живи сейчас»,Москва,1,1,1,1,0
129,"Благотворительный фонд ""Возьми счастье в дом""",Москва,1,1,1,1,0
130,"Благотворительный фонд ""Разные дети""",Москва,1,1,1,1,0
131,"Благотворительный фонд ""Развитие творческих инициатив""",москва,1,1,1,1,0
132,"РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ МЕЖРЕГИОНАЛЬНОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ В ПОДДЕРЖКУ ЛЮДЕЙ С МЕНТАЛЬНОЙ ИНВАЛИДНОСТЬЮ И ПСИХОФИЗИЧЕСКИМИ НАРУШЕНИЯМИ ""РАВНЫЕ ВОЗМОЖНОСТИ""",Москва,1,1,1,1,0
133,"Региональная общественная организация помощи детям с расстройствами аутистического спектра ""Контакт""",Москва,1,1,1,1,1
134,"Автономная некоммерческая организация дополнительного профессионального образования ""Институт развития семейного устройства""",Москва,1,1,1,1,1
135,"Благотворительный фонд помощи взрослым ""Живой""",Москва,1,1,1,1,0
136,"Благотворительный фонд помощи бездомным животным ""НИКА""",Москва,1,1,1,1,0
137,"Автономная некоммерческая организация ""Свято-Софийский социальный дом""",Москва,1,1,1,1,0
138,Благотворительный фонд социальной и информационной поддержки для детей после кохлеарной имплантации и с нарушением слуха «Мелодия жизни»,Москва,1,1,1,1,0
139,"Благотворительный фонд ""ПРАВМИР""",Москва,1,1,1,1,0
140,"Благотворительный фонд ""БлагоДА""",москва,1,1,1,1,1
141,"Благотворительный фонд ""Новая жизнь""",Москва,1,1,1,1,0
142,"Благотворительный фонд поддержки людей с тяжелыми нарушениями развития ""Близкие Другие""",Санкт-Петербург,1,1,1,1,0
143,Автономная некоммерческая организация помощи детям с тяжелыми заболеваниями «Ленздравклоун»,Санкт-Петербург,1,1,1,1,0
144,"Автономная некоммерческая организация ""Военно-патриотический центр ""Вымпел-Спб""",Санкт-Петербург,1,1,1,1,0
145,"Автономная некоммерческая организация оказания помощи людям с ментальными особенностями ""Аутсайдервиль""",Санкт-Петербург,1,1,1,1,0
146,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ПО ОКАЗАНИЮ УСЛУГ В ОБЛАСТИ РЕАБИЛИТАЦИИ ДЕТЕЙ С НАРУШЕНИЯМИ СЛУХА ""Я ТЕБЯ СЛЫШУ""",Санкт-Петербург,1,1,1,1,0
147,"Благотворительный фонд ""Твоя территория""",Санкт-Петербург,1,1,1,1,0
148,"Благотворительный фонд помощи нуждающимся детям ""Вера и надежда""",Санкт-Петербург,1,1,1,1,0
149,"Благотворительный фонд ""Теплый дом""",Санкт-Петербург,1,1,1,1,0
150,"Автономная некоммерческая организация ""Кукольный театр ""Виноград""",Санкт-Петербург,1,1,1,1,0
151,"Благотворительный Фонд ""Детский хоспис""",Санкт-Петербург,1,1,1,1,1
152,"Религиозная организация ""Католический благотворительный центр ""Каритас Санкт-Петербург""",Санкт-Петербург,1,1,1,1,0
153,"Автономная некоммерческая организация ""Центр развития инновационных социальных услуг ""Партнерство каждому ребенку""",Санкт-Петербург,1,1,1,1,0
154,"Благотворительный фонд ""Все все вместе""",Санкт-Петербург,1,1,1,1,0
155,Благотворительная организация Апельсин,Санкт-Петербург,1,1,1,1,0
156,"СПБОО ""ЕАСП""",Санкт-Петербург,1,1,1,1,0
157,"Благотворительный фонд ""Апрель""",Санкт-Петербург,1,1,1,1,0
158,Санкт-Петербургский Благотворительный фонд помощи детям с онкозаболиваниями «Свет»,Санкт-Петербург,1,1,1,1,0
159,Фонд развития образования МиКЭБИ,Санкт-Петербург,1,1,1,1,0
160,"Межрегиональная общественная организация социальной помощи детям ""Наши дети""",Санкт-Петербург,1,1,1,1,1
161,"Автономная некоммерческая организация социальной адаптации пожилых ""Серебряный возраст""",Санкт-Петербург,1,1,1,1,0
162,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР СОЦИАЛЬНОЙ ПОДДЕРЖКИ ЛИЦАМ, ОКАЗАВШИХСЯ В ТРУДНОЙ ЖИЗНЕННОЙ СИТУАЦИИ ""ОБИТЕЛЬ""",Салехард,1,1,1,1,0
163,"Региональная Общественная Организация ""Центр стратегического развития и проектной деятельности ""Устойчивый Крым""",Симферополь,1,1,1,1,0
164,"Благотворительный фонд защиты и поддержки детей и материнства ""Шаг в жизнь""",Москва,1,1,1,1,0
165,Фонд «Дом с маяком»,Москва,1,1,1,1,1
166,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ПОМОЩИ ДЕТЯМ, ОСТАВШИМСЯ БЕЗ ПОПЕЧЕНИЯ РОДИТЕЛЕЙ В ОБЛАСТНЫХ И СЕЛЬСКИХ ДОМАХ РЕБЕНКА ""ДОРОГА ЖИЗНИ""",Москва,1,1,1,1,0
167,"Благотворительный фонд помощи животным ""Собаки, которые любят""",Москва,1,1,1,1,0
168,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ЕЛЕНЫ РОМАНОВОЙ ""ГОРОД ДОБРА""",Москва,1,0,1,1,0
169,"Благотворительный фонд ""Inclusive Dance""",Москва,1,1,1,1,0
170,"Автономная некоммерческая организация Центр социального развития ""Просвещен""",Москва,1,1,1,1,1
171,Благотворительный фонд реализации социальных проектов «Охана»,Москва,1,1,1,1,0
172,"Благотворительный Фонд Адресной Помощи ""ЛЮБАВА""",Москва,1,0,1,1,0
173,"Международный детский фонд ""Дети Саха-Азия""",Якутск,0,1,1,1,0
174,"Автономная некоммерческая организация ""Реабилитационный центр №1""",Красноярск,0,1,1,1,0
175,"Ивановская Региональная Общественная Организация Защиты Прав Потребителей в Сфере Банковских и Страховых Услуг ""ПАРТНЕР",Иваново,0,1,1,1,1
176,"Благотворительный фонд ""Открывая горизонты""",Москва,0,1,1,1,0
177,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД СОЦИАЛЬНОЙ АДАПТАЦИИ ГРАЖДАН ""ТОЧКА ОПОРЫ""",Москва,0,1,1,1,0
178,"НО ""Фонд ""Нижегородский онкологический научный центр""",Нижний Новгород,0,1,1,1,1
179,"Автономная некоммерческая организация"" Патронажная служба""",Брянск,0,1,1,1,0
180,Благотворительный фонд помощи детям с онкологическими заболеваниями памяти Ирины Чёрной «ЛИЧНОЕ УЧАСТИЕ»,Москва,0,1,1,1,0
181,"БФ ""МОМ""",Москва,0,1,1,1,1
182,"Благотворительный фонд социальной поддержки и охраны здоровья граждан ""Помощь""",г. Санкт-Петербург,0,1,1,1,0
183,"Благотворительный фонд поддержки детей и молодежи ""Путевка в жизнь""",Москва,0,1,1,1,0
184,"Автономная Некоммерческая Организация ""Центр Психологической и информационной поддержки материнства ""Душа Мамы""",москва,0,1,1,1,0
185,Благотворительный фонд поддержки людей с особенностями развития «Я есть!»,Москва,0,1,1,1,0
186,"Автономная некоммерческая организация помощи пожилым людям и инвалидам Республики Башкортостан ""Дорогие мои старики""",Уфа,0,1,1,1,0
187,Благотворительный фонд Памяти Николая Богатикова в поддержку пострадавших в ДТП,Санкт-Петербург,0,1,1,1,0
188,Фонд «Навстречу переменам»,Москва,0,1,1,1,0
189,Фонд развития футбола инвалидов «Равные Возможности»,Москва,0,1,1,1,0
190,"Благотворительный Фонд помощи медикам ""ВБлагодарность""",Москва,0,1,1,1,0
191,АНО «Преданное Сердце»,Санкт Петербург,0,1,1,1,0
192,"Благотворительный фонд профилактики и охраны здоровья граждан ""Обними жизнь""",Якутск,0,1,1,1,0
193,"Благотворительный фонд содействия талантам ""Особые мастера""",Москва,0,1,1,1,0
194,Благотворительный фонд «Артемка»,Санкт-Петербург,0,1,1,1,0
195,"Красноярский благотворительный фонд ""Дари добро""",Красноярск,0,1,1,1,0
196,"Фонд формирования и развития трудового кадрового резерва, обеспечение профессиональной реализации молодежи «ВРЕМЯ ВПЕРЕД»",Москва,0,1,1,1,0
197,"Благотворительный фонд помощи детям онкогематологическими и иными тяжелыми заболеваниями ""Подари жизнь""",Москва,0,1,1,1,0
198,Благотворительный фонд межцерковной христианской диаконии (БФ Диакония),Санкт-Петербург,0,1,1,1,0
199,"Фонд помощи животным ""Лапа Дружбы""",Москва,0,1,1,1,0
200,Фонд содействия защите здоровья и социальной справедливости имени Андрея Рылькова,Москва,0,1,1,1,0
201,"Автономная некоммерческая организация по развитию и поддержке вакцинопрофилактики ""Коллективный иммунитет""",Санкт-Петербург,0,1,1,1,0
202,Благотворительный фонд поддержки и развития образования «Новый учитель»,Москва,0,1,1,1,0
203,"Благотворительный фонд помощи детям ""Марафон 5 дней""",Сочи,0,1,1,1,0
204,ВРОО Аутмама,Воронеж,0,1,1,1,0
205,Благотворительный Фонд поддержки семьи «Мои друзья»,Москва,0,1,1,1,0
206,Автономная некоммерческая организация по оказанию психологической помощи и социальному консультированию «Проект СО-действие (Социально Ответственное действие)»,Москва,0,1,1,1,0
207,Театр-цирк Монгольфьери,Санкт-Петербург,0,1,1,1,0
208,"НП ""Центр содействия экологическому предпринимательству""",Москва,0,1,1,1,0
209,"АНО ""Алтае-Саянское горное партнерство""",Усть-Кокса,0,1,1,1,0
210,Благотворительный фонд Цветы добра,Липецк,0,1,1,1,0
211,Благотворительный фонд помощи людям с тяжёлой формой инвалидности Циферка,Москва,0,1,1,1,0
212,"Благотворительный фонд ""Подари мне крылья""",Санкт-Петербург,0,1,1,1,1
213,Автономная некоммерческая организация дополнительного профессионального образования «Центр обучения профессионалов здравоохранения»,Москва,0,1,1,1,0
214,"Благотворительный фонд помощи тяжело больным детям, детям-инвалидам ""Планета здоровья""",Новороссийск,0,1,1,1,0
215,"Благотворительный фонд ""Дарю Благо""",Екатеринбург,0,1,1,1,0
216,Благотворительный Фонд «Родительский мост»,Санкт- Петербург,0,1,1,1,0
217,"Фонд поддержки современного искусства ""Космоскоу""",Москва,0,1,1,1,0
218,"Автономная некоммерческая организация ""центр бесплатной юридической и информационно-коммуникационной помощи"" Парадигма """,Бугуруслан,0,1,1,1,0
219,"Благотворительный фонд помощи животным ""Тедди""",Самара,0,1,1,1,0
220,"Марфо-Мариинская обитель милосердия, Группа работы с просителями",Москва,0,1,1,1,0
221,"Межрегиональная общественная организация ""Дальневосточная Экологическая комиссия""",Уссурийск,0,1,1,1,0
222,"АНО ""Инклюзивный центр ""Йом-йом""",Санкт-Петербург,0,1,1,1,0
223,Российский комитет Международного совета музеев (ИКОМ России),Москва,0,1,1,1,0
224,"НКО Благотворительный фонд ""Счастливый мир""",Москва,0,1,1,1,0
225,"Некоммерческая организация ""Фонд поддержки гражданских инициатив "" Светлые Лица""",Надым,0,1,1,1,0
226,Некоммерческая организация Благотворительный фонд «Счастливый мир»,Москва,0,1,1,1,0
227,"Автономная некоммерческая организация ""Образовательный клуб друзей физико-математической школы № 146""",Пермь,0,1,1,1,0
228,Благотворительный фонд развития системной помощи пациентам с миодистрофией Дюшенна «Гордей»,Москва,0,1,1,1,0
229,"Благотворительный фонд помощи детям ""Инфраструктура детства""",Тольятти,0,1,1,1,0
230,"РООИ ""Творческое партнерство""",Москва,0,1,1,1,0
231,Ассоциация участников социальных проектов «Драйвер роста»,Белгород,0,1,1,1,0
232,"Благотворительный фонд поддержки инвалидов, их семей и людей, находящихся в тяжелой жизненной ситуации «Времена года»",Вологда,0,1,1,1,0
233,"Хабаровская краевая общественная организация ""Милосердие""",Хабаровск,0,1,1,1,0
234,"Благотворительный фонд ""Мир в каждый дом""",Москва,0,1,1,1,1
235,"АНО Центр развития волонтерства ""ПОМОГИ ПРОСТО""",Санкт-Петербург,0,1,1,1,0
236,"АНО защиты труда ""Этика трудовых отношений""",Домодедово,0,1,1,1,0
237,Автономная некоммерческая организация по реализации социально значимых программ и проектов «Во благо» (АНО «Во благо»),Москва,0,1,1,1,0
